,문장,유형
0,0.75%포인트 금리 인상은 1994년 이후 28년 만에 처음이다.,0
1,이어 ＂앞으로 전문가들과 함께 4주 단위로 상황을 재평가할 예정＂이라며 ＂그 이전이라도 방역 지표가 기준을 충족하면 확진자 격리의무 조정 여부를 검토할 것＂이라고 전했다.,0
2,정부가 고유가 대응을 위해 7월부터 연말까지 유류세 인하 폭을 30%에서 37%까지 확대한다.,0
3,"서울시는 올해 3월 즉시 견인 유예시간 60분을 제공하겠다고 밝혔지만, 하루 만에 차도와 자전거도로는 예외로 하겠다고 입장을 바꾸기도 했다.",0
4,익사한 자는 사다리에 태워 거꾸로 놓고 소금으로 코를 막아 가득 채운다.,0
5,이같은 변화를 포함해 올해 종부세 과세 대상은 당초 21만4000명에서 12만1000명으로 줄어든다는 게 정부 추산이다.,0
6,"수수꽃다리과로 북한에서 주로 많이 서식한다는 수수꽃다리, 남한의 대표적 라일락으로 털개회나무가 있다.",0
7,"가장 최근에 있었던, OTT 예능 프로그램 출연으로 일약 스타덤에 올랐던 한 인플루언서의 명품 가품 착용 논란도 마찬가지 사례다.",0
8,이번 서비스에는 네이버가 자체 개발한 초대규모 AI 하이퍼클로바 기술이 적용됐다.,0
9,이 같은 서울시 방침에 직격탄을 맞게 된 곳이 바로 한남근린공원(한남동 677-1)이다.,0
10,스탈린에 아부하는 것이 일상이던 권력자들은 스탈린 이후 누가 후계자가 될 것인지를 놓고 온갖 눈치 작전을 벌인다.,0
11,취약점을 보완하기 위해 무작정 강력한 보안장치를 도입할 수도 없다.,1
12,비가 내리는 지역에서는 돌풍과 함께 천둥·번개가 치고 일부 지역에선 우박이 떨어지는 곳이 있을 예정이다.,3
13,"최근 50대 이상의 서울 강남 거주자들 중심으로 번지고 있는 국민연금 고액 추후납부(추납), 이들은 평소 국민연금을 내지 않고 있다가 연금수령 시점이 돼서 5000만~1억원의 보험료를 한꺼번에 투척하면서 이득을 취한다.",0
14,이어 ＂개별 상황에 어떻게 응대해야 할 것인지도 모호한 상황＂이라며 ＂이 같은 부분도 정리 작업이 필요하다＂고 말했다.,0
15,"사우스포게임즈가 개발한 ＇스컬＇의 경우도 지난해 부산인디커넥트 페스티벌, 글로벌인디게임제작경진대회 등을 통해 눈도장을 찍기도 했다.",0
